"serial_no","colour reading","mono reading"
"K2348900236",0,200196
"K2149304465",0,84332
"J9146910668",0,525592
"K2149303519",0,333875
"K2349100452",0,0
"K2359400345",0,0
"K2068601623",0,107010
"K2168605297",0,236300
"K2168805510",0,396867
"K2068802319",0,17288
"K2369000133",0,161880
"K2168903735",0,266524
"L7076164709",0,375274
"M0178604734",0,30464
"M0178703106",0,136623
"M0178703659",0,191090
"K2168907593",0,0
"M0178604739",0,513352
"M0179010472",0,452943
"M0178604741",0,331046
"L9978900500",0,0
"L7076761167",0,610282
"L6876860375",0,38361
"M0179504185",0,67311
"K2158602262",0,99093
"L7086163922",0,295242
"L6886160854",0,505655
"M0189305583",0,135032
"M0188903853",0,563365
"M0189304641",0,94514
"M0189305589",0,162239
"M0188501189",0,259810
"M0189306860",0,403090
"K2168606383",0,363749
"K2149300167",0,0
"V2294101896",123402,179797
"V4498500879",0,149659
"M6594000765",0,304711
"k2348900241",0,553282
"V4489601342",0,182448
"V4498700703",0,256831
"K2158704780",0,657804
"V4498708474",0,105298
"V4499000184",0,315492
"V4498803106",0,104496
"V4499200163",0,266895
"l7096760972",0,281242
"L7096862477",0,351046
"V4408507801",0,209483
"J9246403619",0,567080
"V4408504073",0,0
"L7006361492",0,606001
"L6806460309",0,231201
"K2369000197",0,182201
"V8304200315",0,318994
"V4409004894",0,76535
"M0973702332",0,944645
"QUYOXO5774",0,0
"L7006361403",0,242021
"V4408909472",0,420164
"V4409013091",0,63238
"V4409214253",0,87499
"QUYOZ06235",0,158720
"QVC0911946",0,21605
"V4409214319",0,202300
"V4409218403",0,0
"79538629",0,2183191
"L7007060344",0,136212
"V9714001904",132261,131968
"M0179009399",0,110439
"QUY1408608",0,63352
"V4408909607",0,282291
"S7213900303",140073,169581
"8366111197",0,0
"S7214101010",126520,209630
"K2149500687",0,198917
"V7013200127",0,3138941
"94F5C5B",26324,9037
"972HP5KW",0,40008
"W3019509849",0,81892
"K8366610858",0,423156
"S7214401198",63732,105838
"W3019509773",0,558212
"K2168604661",0,174977
"K2158904185",0,264496
"W3019408411",0,94821
"S7214502314",204735,325484
"W3028601149",0,127884
"W3019602529",0,390625
"W3019412987",0,133640
"W3028600881",0,234875
"V9814500429",183811,232983
"W3028601573",0,161818
"M0179608661",0,159957
"W3019602305",0,121766
"W3028708049",0,96607
"M0188501528",0,237850
"W422K100657",0,227515
"K2159603786",0,154917
"QUY1Y11669",0,149159
"W3028717065",0,98588
"NVN2200752",0,153365
"L7026260780",0,0
"NVN2100446",0,0
"NVN2200723",0,0
"W3028602678",0,280402
"QUY1810428",0,231695
"M0398500116",0,0
"K2168903755",0,396666
"W3028717010",0,0
"NVN2602295",0,171915
"K2168903799",0,275437
"W3038713028",0,0
"W432K100616",0,0
"L7076860472",0,0
"M5582900162",0,1204550
"W912P505271",0,342004
"S4926120284",27214,15307
"M0188507771",0,211298
"W912PA01716",0,0
"V4489602573",0,368643
"L1496710193",0,0
"M0178605212",0,95563
"W912PB07361",0,370725
"QUY1910709",0,0
"NVN2803134",0,227974
"W912PA01726",0,405193
"W912PB07365",0,163803
"W912PB07366",0,0
"NVN2803136",0,222398
"W912PB07363",0,0
"V9724401235",10714,46960
"W872JC00095",0,4782938
"W912PB06894",0,254363
"NVN2802996",0,18315
"W912PA05149",0,170709
"W3019604782",0,0
"W912PA00154",0,139330
"W912PA00207",0,0
"E333M120236",0,0
"K8166310981",0,374894
"K2159404230",0,459598
"NVN2201016",0,0
"M0178604105",0,235171
"W913P102788",0,103836
"W913P102789",0,99670
"M0188511757",0,145474
"W913P103890",0,95170
"W913P102790",0,131371
"E333M120321",0,592055
"G0188911101",0,92503
"W673K601292",0,537176
"NVN3606991",0,45701
"W913P504998",0,803617
"G2159304844",0,204478
"G2149403964",0,334982
"G0188511761",0,44324
"NVL2500779",0,0
"W913P803549",0,44516
"W913P805348",0,70243
"M2763600357",0,797042
"T223P901373",1782,38116
"G8204000571",0,177805
"W672K601485",0,1083807
"V4408909579",0,313179
"W913P803703A1",0,0
"W913P903537",0,364849
"W913P903541",0,249173
"G0179405099",0,267755
"W913PC04909",0,262996
"W913PC04902",0,321121
"L9074600481",470984,732229
"G0179502964",0,269011
"NVN3Z07890",0,131787
"W913PC04905",0,274314
"W913PC04908",0,0
"NVN3Z07825",0,142342
"W913PC04906",0,215083
"G4498505085",0,228282
"W913PC04897",0,195002
"W913PC04847",0,0
"E214K300031",60422,366653
"K2168903738",0,86850
"E154M220372",289915,43934
"M0155511681",0,317309
"W914P500957",0,0
"M0189110396",0,124791
"W914P500842",0,207562
"E334M121184",0,0
"W904P400322",0,116234
"E324M620019",0,143620
"E334M520491",0,0
"E204R661478",114566,82297
"E334M421020",0,0
"E334M121008",0,474568
"E334M121153",0,485141
"M0188903851",0,349505
"V2204201469",34381,46709
"E334M420919",0,264073
"E334M820098",0,0
"E204R760011",79757,356057
"V3L4301100",0,199956
"W914P806735",0,0
"W794P401999",52140,97469
"76676899",0,1422719
